City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Grand Gaube,MU,73.8,-20.0064,57.6608,
3,Ushuaia,AR,42.46,-54.8,-68.3,
4,Busselton,AU,58.82,-33.65,115.3333,
5,Port Alfred,ZA,75.16,-33.5906,26.891,
6,Vaini,TO,73.56,-21.2,-175.2,
7,Bluff,NZ,41.81,-46.6,168.3333,
8,Honningsvag,NO,42.55,70.9821,25.9704,
9,Sorland,NO,48.06,67.667,12.6934,
13,Raudeberg,NO,50.67,61.9875,5.1352,
14,Hecun,CN,69.71,36.5333,114.1111,
15,Nome,US,42.87,64.5011,-165.4064,
16,Souillac,MU,73.78,-20.5167,57.5167,
17,East London,ZA,72.54,-33.0153,27.9116,
18,Touho,NC,72.75,-20.7833,165.2333,
20,Hasaki,JP,63.0,35.7333,140.8333,
21,Powell River,CA,64.18,49.8496,-124.5361,
22,Atuona,PF,77.92,-9.8,-139.0333,
23,Rikitea,PF,73.13,-23.1203,-134.9692,
24,Tiznit,MA,77.29,29.5833,-9.5,
25,Payo,ID,71.71,-3.7508,103.6372,
26,Hobart,AU,40.86,-42.8794,147.3294,
27,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,
28,Punta Arenas,CL,48.31,-53.15,-70.9167,
29,Tasiilaq,GL,37.6,65.6145,-37.6368,
30,Mordovo,RU,60.51,52.0834,40.77,
31,Ahipara,NZ,57.85,-35.1667,173.1667,
32,Iquique,CL,62.64,-20.2208,-70.1431,
33,Lavrentiya,RU,37.51,65.5833,-171.0,
34,Puerto Ayora,EC,78.76,-0.7393,-90.3518,
35,Esperance,AU,59.22,-33.8667,121.9,
37,Thompson,CA,77.16,55.7435,-97.8558,
38,Cadolzburg,DE,67.39,49.4573,10.8533,
40,Yellowknife,CA,66.72,62.456,-114.3525,
41,Stokmarknes,NO,51.78,68.5646,14.9108,
42,Lebu,CL,54.45,-37.6167,-73.65,
43,Khatanga,RU,55.6,71.9667,102.5,
44,Nabire,ID,74.73,-3.3667,135.4833,
45,Chapais,CA,62.38,49.7834,-74.8492,
46,Mar Del Plata,AR,64.42,-38.0023,-57.5575,
47,Tilichiki,RU,45.63,60.4667,166.1,
48,Mtwara,TZ,71.64,-10.2667,40.1833,
49,New Norfolk,AU,40.5,-42.7826,147.0587,
50,Mersing,MY,75.11,2.4312,103.8405,
51,Roald,NO,55.76,62.5833,6.1333,
53,Bambous Virieux,MU,73.65,-20.3428,57.7575,
55,Zhigansk,RU,48.13,66.7697,123.3711,
57,Askarovo,RU,49.15,53.3372,58.5089,
58,Paamiut,GL,35.74,61.994,-49.6678,
59,Arraial Do Cabo,BR,69.76,-22.9661,-42.0278,
60,Charters Towers,AU,48.79,-20.1,146.2667,
