City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,High Rock,26.6208,-78.2833,86.02,73,41,7.96,BS,2022-06-13 18:51:34
1,Point Pedro,9.8167,80.2333,81.81,82,100,18.03,LK,2022-06-13 18:51:34
2,Grand Gaube,-20.0064,57.6608,73.8,68,88,8.99,MU,2022-06-13 18:51:35
3,Ushuaia,-54.8,-68.3,42.46,87,40,19.57,AR,2022-06-13 18:49:41
4,Busselton,-33.65,115.3333,58.82,71,100,8.01,AU,2022-06-13 18:51:35
5,Port Alfred,-33.5906,26.891,75.16,40,100,13.56,ZA,2022-06-13 18:51:35
6,Vaini,-21.2,-175.2,73.56,100,20,4.61,TO,2022-06-13 18:51:36
7,Bluff,-46.6,168.3333,41.81,73,100,35.86,NZ,2022-06-13 18:51:36
8,Honningsvag,70.9821,25.9704,42.55,81,100,11.5,NO,2022-06-13 18:51:36
9,Sorland,67.667,12.6934,48.06,94,100,18.32,NO,2022-06-13 18:51:37
10,Victoria,22.2855,114.1577,84.38,87,100,13.0,HK,2022-06-13 18:49:41
11,Isla Vista,34.4133,-119.861,80.26,65,20,6.91,US,2022-06-13 18:51:37
12,Albany,42.6001,-73.9662,82.17,49,1,1.01,US,2022-06-13 18:51:37
13,Raudeberg,61.9875,5.1352,50.67,95,100,13.02,NO,2022-06-13 18:51:37
14,Hecun,36.5333,114.1111,69.71,55,100,4.85,CN,2022-06-13 18:51:38
15,Nome,64.5011,-165.4064,42.87,81,75,0.0,US,2022-06-13 18:51:38
16,Souillac,-20.5167,57.5167,73.78,68,75,19.57,MU,2022-06-13 18:51:38
17,East London,-33.0153,27.9116,72.54,40,0,8.05,ZA,2022-06-13 18:51:39
18,Touho,-20.7833,165.2333,72.75,91,100,12.95,NC,2022-06-13 18:48:11
19,Bajil,15.0584,43.2851,89.13,48,5,0.69,YE,2022-06-13 18:51:39
20,Hasaki,35.7333,140.8333,63.0,74,100,14.07,JP,2022-06-13 18:51:39
21,Powell River,49.8496,-124.5361,64.18,62,75,9.22,CA,2022-06-13 18:51:40
22,Atuona,-9.8,-139.0333,77.92,66,5,18.05,PF,2022-06-13 18:51:40
23,Rikitea,-23.1203,-134.9692,73.13,65,54,10.16,PF,2022-06-13 18:51:40
24,Tiznit,29.5833,-9.5,77.29,60,10,8.05,MA,2022-06-13 18:51:41
25,Payo,-3.7508,103.6372,71.71,95,89,2.17,ID,2022-06-13 18:51:41
26,Hobart,-42.8794,147.3294,40.86,91,31,8.05,AU,2022-06-13 18:51:41
27,Sao Joao Da Barra,-21.6403,-41.0511,77.09,56,100,15.26,BR,2022-06-13 18:51:41
28,Punta Arenas,-53.15,-70.9167,48.31,71,0,13.8,CL,2022-06-13 18:51:42
29,Tasiilaq,65.6145,-37.6368,37.6,95,100,14.25,GL,2022-06-13 18:51:42
30,Mordovo,52.0834,40.77,60.51,87,80,5.99,RU,2022-06-13 18:51:42
31,Ahipara,-35.1667,173.1667,57.85,64,94,14.9,NZ,2022-06-13 18:51:43
32,Iquique,-20.2208,-70.1431,62.64,69,35,5.08,CL,2022-06-13 18:51:24
33,Lavrentiya,65.5833,-171.0,37.51,64,99,13.27,RU,2022-06-13 18:51:43
34,Puerto Ayora,-0.7393,-90.3518,78.76,83,33,8.01,EC,2022-06-13 18:51:43
35,Esperance,-33.8667,121.9,59.22,79,99,23.26,AU,2022-06-13 18:51:43
36,Boa Vista,2.8197,-60.6733,87.78,58,75,4.61,BR,2022-06-13 18:51:44
37,Thompson,55.7435,-97.8558,77.16,29,40,6.91,CA,2022-06-13 18:51:44
38,Cadolzburg,49.4573,10.8533,67.39,49,0,10.36,DE,2022-06-13 18:51:44
39,Jamestown,42.097,-79.2353,81.52,55,10,6.15,US,2022-06-13 18:50:12
40,Yellowknife,62.456,-114.3525,66.72,55,40,9.22,CA,2022-06-13 18:51:45
41,Stokmarknes,68.5646,14.9108,51.78,82,75,3.44,NO,2022-06-13 18:51:45
42,Lebu,-37.6167,-73.65,54.45,78,100,9.69,CL,2022-06-13 18:47:45
43,Khatanga,71.9667,102.5,55.6,55,99,10.89,RU,2022-06-13 18:51:45
44,Nabire,-3.3667,135.4833,74.73,92,58,3.15,ID,2022-06-13 18:49:18
45,Chapais,49.7834,-74.8492,62.38,53,98,6.31,CA,2022-06-13 18:51:46
46,Mar Del Plata,-38.0023,-57.5575,64.42,49,0,13.8,AR,2022-06-13 18:51:46
