City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cockburn Town,21.4612,-71.1419,85.96,70,40,16.11,TC,2022-06-12 16:29:20
1,Gat,31.61,34.7642,77.77,100,0,8.75,IL,2022-06-12 16:32:38
2,Parvatsar,26.8833,74.7667,91.4,33,100,13.31,IN,2022-06-12 16:32:38
3,Punta Arenas,-53.15,-70.9167,51.91,71,40,13.8,CL,2022-06-12 16:27:41
4,Saint George,37.1041,-113.5841,96.8,12,1,1.99,US,2022-06-12 16:32:01
5,Artyom,40.4723,50.333,75.34,58,89,10.29,AZ,2022-06-12 16:32:39
6,Torbay,47.6666,-52.7314,69.89,64,100,9.22,CA,2022-06-12 16:32:39
7,Beyneu,45.3167,55.2,84.29,24,11,10.92,KZ,2022-06-12 16:32:39
8,Atasu,48.6814,71.6433,64.85,57,57,7.58,KZ,2022-06-12 16:32:39
9,Derzhavinsk,51.1,66.3167,68.38,53,68,4.47,KZ,2022-06-12 16:32:40
10,Saint-Augustin,51.226,-58.6502,58.82,54,90,6.42,CA,2022-06-12 16:32:40
11,Nawa,27.0167,75.0,91.76,32,99,11.7,IN,2022-06-12 16:32:40
12,Ribeira Grande,38.5167,-28.7,68.4,56,20,10.36,PT,2022-06-12 16:32:40
13,Sakakah,29.9697,40.2064,103.57,10,0,9.71,SA,2022-06-12 16:31:09
14,Beloha,-25.1667,45.05,66.34,69,0,12.55,MG,2022-06-12 16:32:41
